"namespace","name","table","count","colnames"
"anvil-datastorage","AnVIL_Explorer_FSS_Tool","file_inventory",102,"file_inventory_id, _name_, content_type, crc32c, datarepo_row_id, file_ref, full_extension, ingest_provenance, md5_hash, path, size_in_bytes, uri"
"anvil-datastorage","AnVIL_Explorer_FSS_Tool","anvil_biosamples",49,"anvil_biosamples_id, pfb:anatomical_site, pfb:apriori_cell_type, pfb:biosample_id, pfb:biosample_type, pfb:datarepo_row_id, pfb:disease, pfb:document_id, pfb:donor_age_at_collection_unit, pfb:source_datarepo_row_ids, pfb:source_datarepo_snapshot_id"
"anvil-datastorage","AnVIL_Explorer_FSS_Tool","sequencing",98,"sequencing_id, alignment_method, analyte_type, capture_region_bed_file, data_processing_pipeline, datarepo_row_id, date_data_generation, exome_capture_platform, ingest_provenance, library_prep_kit_method, reference_genome_build, sample_id, sequencing_assay, sequencing_id_fileref"
"anvil-datastorage","AnVIL_Explorer_FSS_Tool","anvil_datasets",1,"anvil_datasets_id, pfb:consent_group, pfb:data_modality, pfb:data_use_permission, pfb:datarepo_row_id, pfb:dataset_id, pfb:document_id, pfb:owner, pfb:principal_investigator, pfb:registered_identifier, pfb:source_datarepo_row_ids, pfb:source_datarepo_snapshot_id, pfb:title"
"anvil-datastorage","AnVIL_Explorer_FSS_Tool","workspace_attributes",1,"workspace_attributes_id, attribute, ingest_provenance"
"anvil-datastorage","AnVIL_Explorer_FSS_Tool","sample",49,"sample_id, datarepo_row_id, ingest_provenance, sample_source, sequencing_center, subject_id"
"anvil-datastorage","AnVIL_Explorer_FSS_Tool","anvil_activities",98,"anvil_activities_id, pfb:activity_id, pfb:activity_table, pfb:activity_type, pfb:assay_type, pfb:data_modality, pfb:datarepo_row_id, pfb:date_created, pfb:document_id, pfb:reference_assembly, pfb:source_datarepo_row_ids, pfb:source_datarepo_snapshot_id"
"anvil-datastorage","AnVIL_Explorer_FSS_Tool","family",22,"family_id, consanguinity, datarepo_row_id, ingest_provenance"
"anvil-datastorage","AnVIL_Explorer_FSS_Tool","subject",49,"subject_id, affected_status, ancestry, datarepo_row_id, dbgap_submission, disease_id, family_id, hpo_present, ingest_provenance, maternal_id, multiple_datasets, paternal_id, phenotype_description, proband_relationship, project_id, sex, solve_state"
"anvil-datastorage","AnVIL_Explorer_FSS_Tool","anvil_donors",49,"anvil_donors_id, pfb:datarepo_row_id, pfb:document_id, pfb:donor_id, pfb:genetic_ancestry, pfb:organism_type, pfb:phenotypic_sex, pfb:reported_ethnicity, pfb:source_datarepo_row_ids, pfb:source_datarepo_snapshot_id"
"anvil-datastorage","AnVIL_HPRC","assembly_annotation",47,"assembly_annotation_id, all_Flagger, mat_ASat, mat_chm13_CAT_genes, mat_DNA_BRNN, mat_hg38_CAT_genes, mat_HSat, mat_Repeat_Masker, mat_Seg_Dups, mat_TRF, pat_ASat, pat_chm13_CAT_genes, pat_DNA_BRNN, pat_hg38_CAT_genes, pat_HSat, pat_Repeat_Masker, pat_Seg_Dups, pat_TRF, unreliable_only_Flagger, unreliable_only_no_MT_Flagger"
"anvil-datastorage","AnVIL_HPRC","sample",57,"sample_id, bionano_bnx, bionano_cmap, child_ilmn, cohort, hic, hifi, mat_ilmn, maternal_id, nanopore, notes, pat_ilmn, paternal_id, strandseq"
"anvil-datastorage","AnVIL_HPRC","pggb",1,"pggb_id, gfa, untangle_delta, untangle_paf"
"anvil-datastorage","AnVIL_HPRC","assembly_sample",47,"assembly_sample_id, mat_chm13_aln_bai, mat_chm13_aln_bam, mat_fasta, mat_grch38_aln_bai, mat_grch38_aln_bam, pat_chm13_aln_bai, pat_chm13_aln_bam, pat_fasta, pat_grch38_aln_bai, pat_grch38_aln_bam"
"anvil-datastorage","AnVIL_HPRC","participant",47,"participant_id, Cohort, FamilyID, Notes, Sex, Subpopulation, Superpopulation"
"anvil-datastorage","AnVIL_HPRC","minigraph_cactus",6,"minigraph_cactus_id, dist, gbwt, gfa, gg, grch38_vcf, grch38_vcf_index, grch38_xg, hal, masking, min, snarls, trans, vcf, vcf_index, xg"
"anvil-datastorage","AnVIL_HPRC","minigraph",2,"minigraph_id, bed, bed_index, gfa"
"anvil-datastorage","AnVIL_T2T","chromosome",24,"chromosome_id, CHM13_PASS_VCF, CHM13_PASS_VCF_gz, CHM13_raw_VCF, CHM13_raw_VCF_gz, CHM13_recalibrated_VCF, CHM13_recalibrated_VCF_gz, GRCh38_PASS_VCF, GRCh38_PASS_VCF_gz, GRCh38_recalibrated_VCF, GRCh38_recalibrated_VCF_gz"
"anvil-datastorage","AnVIL_T2T","interval",31155,"interval_id, chromosome, end, genomics_db_tar, genotyped_bcftools_index, genotyped_bgzip, genotyped_vcf, margined_end, margined_start, start"
"anvil-datastorage","AnVIL_T2T","participant",3202,"participant_id, chr10_hc_bgzip, chr10_hc_tabix, chr10_hc_vcf, chr11_hc_bgzip, chr11_hc_tabix, chr11_hc_vcf, chr12_hc_bgzip, chr12_hc_tabix, chr12_hc_vcf, chr13_hc_bgzip, chr13_hc_tabix, chr13_hc_vcf, chr14_hc_bgzip, chr14_hc_tabix, chr14_hc_vcf, chr15_hc_bgzip, chr15_hc_tabix, chr15_hc_vcf, chr16_hc_bgzip, chr16_hc_tabix, chr16_hc_vcf, chr17_hc_bgzip, chr17_hc_tabix, chr17_hc_vcf, chr18_hc_bgzip, chr18_hc_tabix, chr18_hc_vcf, chr19_hc_bgzip, chr19_hc_tabix, chr19_hc_vcf, chr1_hc_bgzip, chr1_hc_tabix, chr1_hc_vcf, chr20_hc_bgzip, chr20_hc_tabix, chr20_hc_vcf, chr21_hc_bgzip, chr21_hc_tabix, chr21_hc_vcf, chr22_hc_bgzip, chr22_hc_tabix, chr22_hc_vcf, chr2_hc_bgzip, chr2_hc_tabix, chr2_hc_vcf, chr3_hc_bgzip, chr3_hc_tabix, chr3_hc_vcf, chr4_hc_bgzip, chr4_hc_tabix, chr4_hc_vcf, chr5_hc_bgzip, chr5_hc_tabix, chr5_hc_vcf, chr6_hc_bgzip, chr6_hc_tabix, chr6_hc_vcf, chr7_hc_bgzip, chr7_hc_tabix, chr7_hc_vcf, chr8_hc_bgzip, chr8_hc_tabix, chr8_hc_vcf, chr9_hc_bgzip, chr9_hc_tabix, chr9_hc_vcf, chrX_hc_bgzip, chrX_hc_tabix, chrX_hc_vcf, chrY_hc_bgzip, chrY_hc_tabix, chrY_hc_vcf, cram, cram_index, mosdepth_global_dist, mosdepth_regions_bed, mosdepth_regions_bed_idx, mosdepth_regions_dist, mosdepth_summary, read_1_fastq, read_2_fastq, samtools_stats, sex"
"anvil-datastorage","AnVIL_T2T_CHRY","PAR_interval_GRCh38",30864,"PAR_interval_GRCh38_id, chromosome, end, margined_end, margined_start, region_type, SGDP_genomics_db_tar, start"
"anvil-datastorage","AnVIL_T2T_CHRY","PAR_interval_CHM13v2",31158,"PAR_interval_CHM13v2_id, 1KGP_genomics_db_tar, chromosome, end, margined_end, margined_start, region_type, SGDP_genomics_db_tar, start"
"anvil-datastorage","AnVIL_T2T_CHRY","1KGP_CHM13v2_sample",3202,"1KGP_CHM13v2_sample_id, chr10_hcVCF_gz, chr10_hcVCF_index, chr11_hcVCF_gz, chr11_hcVCF_index, chr12_hcVCF_gz, chr12_hcVCF_index, chr13_hcVCF_gz, chr13_hcVCF_index, chr14_hcVCF_gz, chr14_hcVCF_index, chr15_hcVCF_gz, chr15_hcVCF_index, chr16_hcVCF_gz, chr16_hcVCF_index, chr17_hcVCF_gz, chr17_hcVCF_index, chr18_hcVCF_gz, chr18_hcVCF_index, chr19_hcVCF_gz, chr19_hcVCF_index, chr1_hcVCF_gz, chr1_hcVCF_index, chr20_hcVCF_gz, chr20_hcVCF_index, chr21_hcVCF_gz, chr21_hcVCF_index, chr22_hcVCF_gz, chr22_hcVCF_index, chr2_hcVCF_gz, chr2_hcVCF_index, chr3_hcVCF_gz, chr3_hcVCF_index, chr4_hcVCF_gz, chr4_hcVCF_index, chr5_hcVCF_gz, chr5_hcVCF_index, chr6_hcVCF_gz, chr6_hcVCF_index, chr7_hcVCF_gz, chr7_hcVCF_index, chr8_hcVCF_gz, chr8_hcVCF_index, chr9_hcVCF_gz, chr9_hcVCF_index, chrX_samtools_stats, chrY_samtools_stats, cram, cram_index, full_samtools_stats, karyotype, mosdepth_global_dist, mosdepth_regions_bed, mosdepth_regions_dist, mosdepth_regions_index, mosdepth_summary, population, superpopulation, unrelated, XX_X_hcVCF_gz, XX_X_hcVCF_index, XY_X-nonPAR_hcVCF_gz, XY_X-nonPAR_hcVCF_index, XY_X-PAR_hcVCF_gz, XY_X-PAR_hcVCF_index, XY_Y-nonPAR_hcVCF_gz, XY_Y-nonPAR_hcVCF_index"
"anvil-datastorage","AnVIL_T2T_CHRY","SGDP_GRCh38_sample",279,"SGDP_GRCh38_sample_id, chr10_hcVCF_gz, chr10_hcVCF_index, chr11_hcVCF_gz, chr11_hcVCF_index, chr12_hcVCF_gz, chr12_hcVCF_index, chr13_hcVCF_gz, chr13_hcVCF_index, chr14_hcVCF_gz, chr14_hcVCF_index, chr15_hcVCF_gz, chr15_hcVCF_index, chr16_hcVCF_gz, chr16_hcVCF_index, chr17_hcVCF_gz, chr17_hcVCF_index, chr18_hcVCF_gz, chr18_hcVCF_index, chr19_hcVCF_gz, chr19_hcVCF_index, chr1_hcVCF_gz, chr1_hcVCF_index, chr20_hcVCF_gz, chr20_hcVCF_index, chr21_hcVCF_gz, chr21_hcVCF_index, chr22_hcVCF_gz, chr22_hcVCF_index, chr2_hcVCF_gz, chr2_hcVCF_index, chr3_hcVCF_gz, chr3_hcVCF_index, chr4_hcVCF_gz, chr4_hcVCF_index, chr5_hcVCF_gz, chr5_hcVCF_index, chr6_hcVCF_gz, chr6_hcVCF_index, chr7_hcVCF_gz, chr7_hcVCF_index, chr8_hcVCF_gz, chr8_hcVCF_index, chr9_hcVCF_gz, chr9_hcVCF_index, country, cram, cram_index, full_samtools_stats, karyotype, mosdepth_global_dist, mosdepth_regions_bed, mosdepth_regions_dist, mosdepth_regions_index, mosdepth_summary, panel, population_id, read_1_fastq, read_2_fastq, region, SGDP_ID, XX_X_hcVCF_gz, XX_X_hcVCF_index, XY_X-nonPAR_hcVCF_gz, XY_X-nonPAR_hcVCF_index, XY_X-PAR_hcVCF_gz, XY_X-PAR_hcVCF_index, XY_Y-nonPAR_hcVCF_gz, XY_Y-nonPAR_hcVCF_index"
"anvil-datastorage","AnVIL_T2T_CHRY","1KGP_CHM13v2_chromosome",24,"1KGP_CHM13v2_chromosome_id, CHM13v2_PASS_index, CHM13v2_PASS_stats, CHM13v2_PASS_unrelated_index, CHM13v2_PASS_unrelated_stats, CHM13v2_PASS_unrelated_vcf_gz, CHM13v2_PASS_vcf_gz, CHM13v2_raw_index, CHM13v2_raw_vcf_gz, CHM13v2_recalibrated_index, CHM13v2_recalibrated_vcf_gz"
"anvil-datastorage","AnVIL_T2T_CHRY","SGDP_GRCh38_chromosome",24,"SGDP_GRCh38_chromosome_id, GRCh38_PASS_index, GRCh38_PASS_stats, GRCh38_PASS_vcf_gz, GRCh38_raw_index, GRCh38_raw_vcf_gz, GRCh38_recalibrated_index, GRCh38_recalibrated_vcf_gz"
"anvil-datastorage","AnVIL_T2T_CHRY","SGDP_CHM13v2_chromosome",24,"SGDP_CHM13v2_chromosome_id, CHM13v2_PASS_index, CHM13v2_PASS_stats, CHM13v2_PASS_vcf_gz, CHM13v2_raw_index, CHM13v2_raw_vcf_gz, CHM13v2_recalibrated_index, CHM13v2_recalibrated_vcf_gz"
"anvil-datastorage","AnVIL_T2T_CHRY","SGDP_CHM13v2_sample",279,"SGDP_CHM13v2_sample_id, chr10_hcVCF_gz, chr10_hcVCF_index, chr11_hcVCF_gz, chr11_hcVCF_index, chr12_hcVCF_gz, chr12_hcVCF_index, chr13_hcVCF_gz, chr13_hcVCF_index, chr14_hcVCF_gz, chr14_hcVCF_index, chr15_hcVCF_gz, chr15_hcVCF_index, chr16_hcVCF_gz, chr16_hcVCF_index, chr17_hcVCF_gz, chr17_hcVCF_index, chr18_hcVCF_gz, chr18_hcVCF_index, chr19_hcVCF_gz, chr19_hcVCF_index, chr1_hcVCF_gz, chr1_hcVCF_index, chr20_hcVCF_gz, chr20_hcVCF_index, chr21_hcVCF_gz, chr21_hcVCF_index, chr22_hcVCF_gz, chr22_hcVCF_index, chr2_hcVCF_gz, chr2_hcVCF_index, chr3_hcVCF_gz, chr3_hcVCF_index, chr4_hcVCF_gz, chr4_hcVCF_index, chr5_hcVCF_gz, chr5_hcVCF_index, chr6_hcVCF_gz, chr6_hcVCF_index, chr7_hcVCF_gz, chr7_hcVCF_index, chr8_hcVCF_gz, chr8_hcVCF_index, chr9_hcVCF_gz, chr9_hcVCF_index, country, cram, cram_index, full_samtools_stats, karyotype, mosdepth_global_dist, mosdepth_regions_bed, mosdepth_regions_dist, mosdepth_regions_index, mosdepth_summary, panel, population_id, read_1_fastq, read_2_fastq, region, SGDP_ID, XX_X_hcVCF_gz, XX_X_hcVCF_index, XY_X-nonPAR_hcVCF_gz, XY_X-nonPAR_hcVCF_index, XY_X-PAR_hcVCF_gz, XY_X-PAR_hcVCF_index, XY_Y-nonPAR_hcVCF_gz, XY_Y-nonPAR_hcVCF_index"
"help-terra","BICCN-Omics-Workshop-June-2022","file",2,"file_id, filetype, i1_fastq, md5, r1_fastq, r2_fastq, r3_fastq, sample_id, size, urls"
"help-terra","BICCN-Omics-Workshop-June-2022","file_set",1,"file_set_id, bam, cell_barcodes_csv, cell_calls, cell_metrics, checkpoint_file, files, gene_metrics, h5_array, html_report_array, log, loom_output_file, matrix, matrix_col_index, matrix_row_index, metrics_csv_array, optimus_version, output_directory, raw_umi_histogram_pdf, summary_pdf"
"help-gatk","BICCN_Omics_Workshop","file",1,"file_id, filetype, i1_fastq, r1_fastq, r2_fastq, sample_id"
"help-gatk","BICCN_Omics_Workshop","file_set",1,"file_set_id, bam, cell_calls, cell_metrics, files, gene_metrics, matrix, matrix_col_index, matrix_row_index, Optimus_version, output_loom"
"biodata-catalyst","BioData Catalyst Collection","read_group",2504,"read_group_id, pfb:aliquot, pfb:created_datetime, pfb:project_id, pfb:state, pfb:submitter_id, pfb:updated_datetime"
"biodata-catalyst","BioData Catalyst Collection","project",1,"project_id, pfb:code, pfb:dbgap_accession_number, pfb:program, pfb:project_name, pfb:releasable, pfb:released, pfb:state"
"biodata-catalyst","BioData Catalyst Collection","traits_for_analysis",2504,"traits_for_analysis_id, bmi, height, population, sex"
"biodata-catalyst","BioData Catalyst Collection","lab_result",2504,"lab_result_id, pfb:created_datetime, pfb:hdl, pfb:ldl, pfb:project_id, pfb:state, pfb:subject, pfb:submitter_id, pfb:total_cholesterol, pfb:triglycerides, pfb:updated_datetime"
"biodata-catalyst","BioData Catalyst Collection","simple_germline_variation",2504,"simple_germline_variation_id, pfb:created_datetime, pfb:data_category, pfb:data_format, pfb:data_type, pfb:experimental_strategy, pfb:file_format, pfb:file_name, pfb:file_size, pfb:file_state, pfb:ga4gh_drs_uri, pfb:md5sum, pfb:object_id, pfb:project_id, pfb:state, pfb:submitted_aligned_reads, pfb:submitter_id, pfb:updated_datetime"
"biodata-catalyst","BioData Catalyst Collection","reference_file",44,"reference_file_id, pfb:created_datetime, pfb:data_category, pfb:data_format, pfb:data_type, pfb:file_format, pfb:file_name, pfb:file_size, pfb:file_state, pfb:ga4gh_drs_uri, pfb:md5sum, pfb:object_id, pfb:project, pfb:project_id, pfb:state, pfb:submitter_id, pfb:updated_datetime"
"biodata-catalyst","BioData Catalyst Collection","demographic",2504,"demographic_id, pfb:age_at_index, pfb:annotated_sex, pfb:bmi_baseline, pfb:created_datetime, pfb:height_baseline, pfb:population, pfb:project_id, pfb:race, pfb:state, pfb:subject, pfb:submitter_id, pfb:updated_datetime"
"biodata-catalyst","BioData Catalyst Collection","sample",2504,"sample_id, pfb:created_datetime, pfb:project_id, pfb:specimen_id, pfb:state, pfb:subject, pfb:submitter_id, pfb:updated_datetime"
"biodata-catalyst","BioData Catalyst Collection","study",1,"study_id, pfb:authz, pfb:created_datetime, pfb:project, pfb:project_id, pfb:state, pfb:study_description, pfb:study_id, pfb:study_registration, pfb:submitter_id, pfb:updated_datetime"
"biodata-catalyst","BioData Catalyst Collection","aliquot",2504,"aliquot_id, pfb:created_datetime, pfb:experimental_strategy, pfb:project_id, pfb:sample, pfb:state, pfb:submitter_id, pfb:updated_datetime"
"biodata-catalyst","BioData Catalyst Collection","submitted_aligned_reads",2504,"submitted_aligned_reads_id, pfb:created_datetime, pfb:data_category, pfb:data_format, pfb:data_type, pfb:experimental_strategy, pfb:file_format, pfb:file_name, pfb:file_size, pfb:file_state, pfb:ga4gh_drs_uri, pfb:md5sum, pfb:object_id, pfb:project_id, pfb:read_group, pfb:state, pfb:submitter_id, pfb:updated_datetime"
"biodata-catalyst","BioData Catalyst Collection","germline_variation_index",2504,"germline_variation_index_id, pfb:created_datetime, pfb:data_category, pfb:data_format, pfb:data_type, pfb:file_format, pfb:file_name, pfb:file_size, pfb:file_state, pfb:ga4gh_drs_uri, pfb:md5sum, pfb:object_id, pfb:project_id, pfb:simple_germline_variation, pfb:state, pfb:submitter_id, pfb:updated_datetime"
"biodata-catalyst","BioData Catalyst Collection","program",1,"program_id, pfb:dbgap_accession_number, pfb:program_name"
"biodata-catalyst","BioData Catalyst Collection","test",1,"test_id, col1"
"biodata-catalyst","BioData Catalyst Collection","subject",2504,"subject_id, pfb:consent_codes, pfb:created_datetime, pfb:participant_id, pfb:project_id, pfb:state, pfb:study, pfb:submitter_id, pfb:updated_datetime"
"biodata-catalyst","BioData Catalyst Collection","aligned_reads_index",2504,"aligned_reads_index_id, pfb:created_datetime, pfb:data_category, pfb:data_format, pfb:data_type, pfb:file_format, pfb:file_name, pfb:file_size, pfb:file_state, pfb:ga4gh_drs_uri, pfb:md5sum, pfb:object_id, pfb:project_id, pfb:state, pfb:submitted_aligned_reads, pfb:submitter_id, pfb:updated_datetime"
"bioconductor-rpci-anvil","Bioconductor-Workflow-DESeq2","participant",16,"participant_id, condition, fastq_1, fastq_2, files, type"
"bioconductor-rpci-anvil","Bioconductor-Workflow-DESeq2","participant_set",1,"participant_set_id, participants"
"help-gatk","BroadE-Day4-BigQuery","participant",2,"participant_id, vcf"
"help-gatk","BroadE-Day4-BigQuery","sample",3,"sample_id, html, kinship, notebook, participant, phenotypes, results, sample_ids"
"convergneuro-mccarroll-anvil","Broad_ConvergentNeuroscience_McCarroll_Nehme_SupplementaryVillageData","Donor",163,"Donor_id, AGE, CELL_TYPE, FRACTION_X, PC1, PC2, PC3, PC4, SEX"
"convergneuro-mccarroll-anvil","Broad_ConvergentNeuroscience_McCarroll_Nehme_SupplementaryVillageData","Donor_set",4,"Donor_set_id, Donors"
"mccarroll-genomestrip-terra","C4AB_Analysis","participant",2504,"participant_id, CENTER_NAME, EXPERIMENT_ID, gVCF, gVCF_TBI, INSERT_SIZE, INSTRUMENT_MODEL, INSTRUMENT_PLATFORM, LIBRARY_LAYOUT, LIBRARY_NAME, MD5SUM, participant, POPULATION, RUN_ID, RUN_NAME, SAMPLE_NAME, STUDY_ID, STUDY_NAME, SUBMISSION_DATE, SUBMISSION_ID"
"mccarroll-genomestrip-terra","C4AB_Analysis","sample",2504,"sample_id, cram, gVCF, gVCF_TBI, insert_size, instrument_model, library_construction_protocol, library_layout, library_name, library_selection, library_source, library_strategy, participant, sample_alias"
"mccarroll-genomestrip-terra","C4AB_Analysis","sample_set",27,"sample_set_id, mdlite_path, pop, samples, superpop"
"broad-firecloud-tcga","CCLE_hg19_GDCLegacy_DATA","participant",948,"participant_id, project_id, submitter_id"
"broad-firecloud-tcga","CCLE_hg19_GDCLegacy_DATA","sample",951,"sample_id, participant, RNAseq__aligned_reads__bai_url, RNAseq__aligned_reads__bam_url, RNAseq__aligned_reads__uuid_and_filename, sample_type, submitter_id, WGS__aligned_reads__bai_url, WGS__aligned_reads__bam_url, WGS__aligned_reads__uuid_and_filename, WXS__aligned_reads__bai_url, WXS__aligned_reads__bam_url, WXS__aligned_reads__uuid_and_filename"
"fccredits-silver-tan-7621","CCLE_v2","participant",1060,"participant_id"
"fccredits-silver-tan-7621","CCLE_v2","sample",1060,"sample_id, hg19_hybrid_capture_bai, hg19_hybrid_capture_bam, hg19_raindance_bai, hg19_raindance_bam, hg19_RRBS_bai, hg19_RRBS_bam, hg19_targeted_bai, hg19_targeted_bam, hg38_rna_bai, hg38_rna_bam, hg38_wes_bai, hg38_wes_bam, hg38_wgs_bai, hg38_wgs_bam, mutect2_parquet_wes, mutect2_parquet_wgs, mutect2_vcf_wes, mutect2_vcf_wgs, participant, stripped_cell_line_name"
"broad-firecloud-ccle","CCLE_v2","participant",1060,"participant_id"
"broad-firecloud-ccle","CCLE_v2","sample",1060,"sample_id, hg19_hybrid_capture_bai, hg19_hybrid_capture_bam, hg19_raindance_bai, hg19_raindance_bam, hg19_RRBS_bai, hg19_RRBS_bam, hg19_targeted_bai, hg19_targeted_bam, hg38_rna_bai, hg38_rna_bam, hg38_wes_bai, hg38_wes_bam, hg38_wes_hc_cnn_filtered_vcf, hg38_wes_hc_cnn_filtered_vcf_index, hg38_wgs_bai, hg38_wgs_bam, hg38_wgs_hc_cnn_filtered_vcf, hg38_wgs_hc_cnn_filtered_vcf_index, mutect2_parquet_wes, mutect2_parquet_wgs, mutect2_vcf_wes, mutect2_vcf_wgs, participant, stripped_cell_line_name"
"terra-outreach","CHIP-Detection-Mutect2","sample",10,"sample_id, annovar_annotated_file_table, annovar_annotated_file_vcf, bam, bam_index, cram, gVCF, gVCF_TBI, insert_size, instrument_model, library_construction_protocol, library_layout, library_name, library_selection, library_source, library_strategy, mutatedBAI, mutatedBAM, mutect2_bamout, mutect2_bamout_index, mutect2_contamination_table, mutect2_filtered_vcf, mutect2_filtered_vcf_idx, mutect2_filtering_stats, mutect2_funcotated_file, mutect2_funcotated_file_index, mutect2_maf_segments, mutect2_read_orientation_model_params, mutect2_stats, participant, sample_alias, whitelist_filter_output_allvariants, whitelist_filter_output_manual_review, whitelist_filter_output_varcount, whitelist_filter_output_wl"
"terra-outreach","CHIP-Detection-Mutect2","sample_set",6,"sample_set_id, samples"
